,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
,012450.KS,064350.KS,012450.KS,064350.KS,012450.KS,064350.KS,012450.KS,064350.KS,012450.KS,064350.KS,012450.KS,064350.KS
Date,,,,,,,,,,,,
2020-03-13,20978.4296875,10500.0,22050.0,10500.0,22600.0,10650.0,20450.0,9660.0,21150.0,10000.0,797717,2102875
2020-03-16,19979.455078125,10200.0,21000.0,10200.0,22900.0,11000.0,21000.0,10200.0,22250.0,10600.0,326383,905196
2020-03-17,19218.3359375,10350.0,20200.0,10350.0,21150.0,10400.0,19350.0,9390.0,19350.0,9390.0,378303,985290
2020-03-18,17553.380859375,9930.0,18450.0,9930.0,20500.0,10650.0,18450.0,9930.0,20150.0,10350.0,369689,854284
2020-03-19,14937.0224609375,8850.0,15700.0,8850.0,18950.0,10400.0,15450.0,8730.0,18500.0,10150.0,706180,1620007
2020-03-20,15935.9951171875,9700.0,16750.0,9700.0,16750.0,9700.0,15050.0,8850.0,15700.0,8900.0,717128,1394067
2020-03-23,14271.041015625,9290.0,15000.0,9290.0,15600.0,9420.0,14850.0,8990.0,15100.0,9120.0,462930,836533
2020-03-24,15840.8544921875,10100.0,16650.0,10100.0,16650.0,10100.0,15100.0,9350.0,15300.0,9500.0,465924,979252
2020-03-25,17315.53125,10950.0,18200.0,10950.0,19100.0,11000.0,17550.0,10350.0,17850.0,10550.0,654279,1278832
2020-03-26,18314.501953125,10800.0,19250.0,10800.0,19900.0,11250.0,18000.0,10500.0,18750.0,10800.0,662070,1121237
2020-03-27,18837.7734375,10800.0,19800.0,10800.0,20800.0,11300.0,18800.0,10350.0,20500.0,11200.0,536289,1021944
2020-03-30,19170.765625,10750.0,20150.0,10750.0,20150.0,10850.0,18650.0,10200.0,18800.0,10300.0,339888,690493
2020-03-31,19551.326171875,12450.0,20550.0,12450.0,21050.0,13700.0,20200.0,10800.0,20500.0,10950.0,367761,6482964
2020-04-01,18980.484375,11600.0,19950.0,11600.0,20800.0,12800.0,19700.0,11500.0,20150.0,12000.0,356431,1773579
2020-04-02,18980.484375,11900.0,19950.0,11900.0,20050.0,12000.0,19250.0,11100.0,19600.0,11650.0,297199,876767
2020-04-03,18552.353515625,11800.0,19500.0,11800.0,19900.0,12100.0,19250.0,11500.0,19900.0,12050.0,289842,786994
2020-04-06,19170.765625,12000.0,20150.0,12000.0,20200.0,12150.0,19400.0,11700.0,19600.0,11700.0,259943,868638
2020-04-07,21216.28125,12500.0,22300.0,12500.0,23500.0,12850.0,20800.0,12100.0,21150.0,12350.0,837639,1764690
2020-04-08,21834.69140625,12100.0,22950.0,12100.0,23750.0,12400.0,21600.0,12050.0,22250.0,12350.0,504879,742997
2020-04-09,22215.25390625,12200.0,23350.0,12200.0,24050.0,12450.0,23000.0,12150.0,23500.0,12300.0,370615,579392
2020-04-10,22120.111328125,12150.0,23250.0,12150.0,23700.0,12450.0,22900.0,11850.0,23400.0,12200.0,262357,749606
2020-04-13,20883.2890625,11900.0,21950.0,11900.0,23400.0,12250.0,21950.0,11750.0,23250.0,12050.0,299188,546316
2020-04-14,21834.69140625,12500.0,22950.0,12500.0,22950.0,12750.0,22100.0,12000.0,22150.0,12050.0,317221,1634848
2020-04-16,21454.130859375,14200.0,22550.0,14200.0,22600.0,14500.0,21850.0,12500.0,22250.0,12850.0,268872,5625847
2020-04-17,22024.97265625,13950.0,23150.0,13950.0,23450.0,14450.0,22750.0,13750.0,22950.0,14200.0,302962,1868326
2020-04-20,22262.82421875,16950.0,23400.0,16950.0,24100.0,17550.0,23050.0,14000.0,23350.0,14100.0,312201,14275707
2020-04-21,23452.076171875,17900.0,24650.0,17900.0,29500.0,20050.0,22500.0,15450.0,23400.0,18250.0,5908661,28378145
2020-04-22,22976.375,18250.0,24150.0,18250.0,24750.0,19400.0,23400.0,16650.0,24200.0,17350.0,1206783,12716905
2020-04-23,23071.515625,17600.0,24250.0,17600.0,24500.0,18200.0,24000.0,17250.0,24150.0,17800.0,607632,1475276
2020-04-24,24451.048828125,17300.0,25700.0,17300.0,27100.0,17950.0,24600.0,17200.0,24650.0,17950.0,2860903,1071874
2020-04-27,24784.041015625,17950.0,26050.0,17950.0,26500.0,17950.0,25200.0,17650.0,25400.0,17900.0,969445,1279397
2020-04-28,26068.43359375,18150.0,27400.0,18150.0,28450.0,19450.0,25650.0,17300.0,26150.0,18600.0,2733936,9090469
2020-04-29,25592.732421875,18000.0,26900.0,18000.0,27900.0,18500.0,26550.0,17750.0,27250.0,18500.0,803064,2706912
2020-05-04,23166.65625,17650.0,24350.0,17650.0,25550.0,18900.0,24350.0,17650.0,25050.0,18800.0,791292,2624106
2020-05-06,23404.505859375,18050.0,24600.0,18050.0,24850.0,18250.0,24450.0,17450.0,24500.0,17700.0,379897,2112073
2020-05-07,23927.77734375,18000.0,25150.0,18000.0,25250.0,18550.0,24350.0,17800.0,24400.0,18200.0,301319,2168771
2020-05-08,23785.068359375,18500.0,25000.0,18500.0,25400.0,18550.0,24900.0,18100.0,25250.0,18200.0,271047,2206830
2020-05-11,23261.796875,17500.0,24450.0,17500.0,25200.0,18100.0,24450.0,17300.0,25000.0,17900.0,386417,1859475
2020-05-12,22500.673828125,17500.0,23650.0,17500.0,24750.0,17650.0,23400.0,16550.0,24700.0,17600.0,477651,1609912
2020-05-13,23119.0859375,18000.0,24300.0,18000.0,24500.0,18200.0,23650.0,17100.0,23650.0,17100.0,384461,2039782
2020-05-14,22120.111328125,16900.0,23250.0,16900.0,24200.0,17550.0,23100.0,16900.0,24200.0,17200.0,495053,2203727
2020-05-15,22310.392578125,16100.0,23450.0,16100.0,23600.0,16900.0,23000.0,16050.0,23300.0,16900.0,345914,1847388
2020-05-18,21977.40234375,15850.0,23100.0,15850.0,23700.0,16300.0,22900.0,15850.0,23700.0,16100.0,220870,1003631
2020-05-19,22595.814453125,16250.0,23750.0,16250.0,23950.0,16650.0,23400.0,16100.0,23550.0,16100.0,401700,1205170
2020-05-20,22643.384765625,16800.0,23800.0,16800.0,23900.0,16850.0,23450.0,16000.0,23650.0,16100.0,242377,906948
2020-05-21,22738.5234375,16700.0,23900.0,16700.0,24350.0,17100.0,23650.0,16550.0,23900.0,16900.0,343767,607773
2020-05-22,22072.54296875,16350.0,23200.0,16350.0,24000.0,16850.0,22950.0,16150.0,24000.0,16750.0,415653,499885
2020-05-25,21929.83203125,16100.0,23050.0,16100.0,23500.0,16450.0,22850.0,15900.0,23500.0,16400.0,274742,493727
2020-05-26,22357.962890625,16550.0,23500.0,16550.0,23700.0,17150.0,23000.0,16000.0,23000.0,16100.0,330081,1497548
2020-05-27,23309.3671875,16550.0,24500.0,16550.0,24600.0,16800.0,23500.0,16350.0,23500.0,16700.0,642701,845853
2020-05-28,22833.666015625,16050.0,24000.0,16050.0,25250.0,16800.0,23750.0,15900.0,24750.0,16600.0,790000,868041
2020-05-29,23119.0859375,15750.0,24300.0,15750.0,24450.0,16100.0,23800.0,15600.0,24300.0,15900.0,447332,628151
2020-06-01,23309.3671875,16000.0,24500.0,16000.0,24850.0,16250.0,24200.0,15700.0,24800.0,15700.0,354132,690831
2020-06-02,23309.3671875,16000.0,24500.0,16000.0,24600.0,16250.0,24100.0,15800.0,24250.0,16000.0,302240,670647
2020-06-03,23927.77734375,16050.0,25150.0,16050.0,25600.0,16200.0,24500.0,15900.0,24650.0,16000.0,716294,1043855
2020-06-04,24070.48828125,16000.0,25300.0,16000.0,26250.0,16300.0,24950.0,15900.0,26250.0,16100.0,777983,976313
2020-06-05,24213.19921875,16350.0,25450.0,16350.0,25450.0,16350.0,24750.0,15900.0,25200.0,16000.0,317687,1120767
2020-06-08,24070.48828125,15650.0,25300.0,15650.0,25800.0,16200.0,25200.0,15600.0,25750.0,16150.0,474793,1394490
2020-06-09,24260.767578125,14900.0,25500.0,14900.0,26650.0,15450.0,25200.0,14800.0,25850.0,15000.0,1098364,1704327
2020-06-10,23832.63671875,15200.0,25050.0,15200.0,25650.0,15250.0,24800.0,14300.0,25600.0,14750.0,393279,1864857
2020-06-11,23927.77734375,15400.0,25150.0,15400.0,25150.0,16200.0,24500.0,15000.0,25100.0,15850.0,494127,2984794
2020-06-12,23309.3671875,15050.0,24500.0,15050.0,24700.0,15400.0,23900.0,14550.0,24100.0,14600.0,476050,1248984
2020-06-15,24879.181640625,13500.0,26150.0,13500.0,28200.0,14750.0,25000.0,13500.0,25050.0,14750.0,3745454,1536731
2020-06-16,24974.322265625,15100.0,26250.0,15100.0,26600.0,15700.0,25050.0,13850.0,25700.0,14000.0,1982075,2317609
2020-06-17,28399.37109375,14250.0,29850.0,14250.0,31100.0,14700.0,26750.0,14100.0,28700.0,14200.0,11721235,1513292
2020-06-18,27780.958984375,14150.0,29200.0,14150.0,30700.0,14900.0,28400.0,13750.0,29100.0,14150.0,4839770,1953467
2020-06-19,25354.880859375,14650.0,26650.0,14650.0,29650.0,16250.0,26550.0,14100.0,29250.0,14200.0,3757564,6958675
2020-06-22,25069.462890625,14500.0,26350.0,14500.0,27300.0,15250.0,25600.0,14400.0,26150.0,14950.0,1136631,1434526
2020-06-23,24831.611328125,14450.0,26100.0,14450.0,27100.0,15100.0,25950.0,14250.0,26350.0,14850.0,817265,1292480
2020-06-24,23452.076171875,16900.0,24650.0,16900.0,25500.0,18600.0,24500.0,15100.0,25100.0,15850.0,1057966,34078554
2020-06-25,22928.806640625,15550.0,24100.0,15550.0,24650.0,16450.0,24100.0,15350.0,24650.0,16100.0,400601,4420102
2020-06-26,23927.77734375,15300.0,25150.0,15300.0,25450.0,16100.0,24250.0,15200.0,24300.0,15850.0,564237,2311672
2020-06-29,23404.505859375,15150.0,24600.0,15150.0,25450.0,15600.0,24400.0,15100.0,25450.0,15150.0,314328,1196688
2020-06-30,23404.505859375,15350.0,24600.0,15350.0,25450.0,15750.0,24600.0,15150.0,25450.0,15550.0,414303,1374673
2020-07-01,23499.646484375,15750.0,24700.0,15750.0,25150.0,16250.0,24500.0,15350.0,24700.0,15500.0,319211,2450739
2020-07-02,23452.076171875,16100.0,24650.0,16100.0,25000.0,16300.0,24550.0,15800.0,24700.0,15950.0,261005,1605326
2020-07-03,23261.796875,16750.0,24450.0,16750.0,24700.0,16750.0,24200.0,16050.0,24650.0,16500.0,285011,2586105
2020-07-06,23452.076171875,16900.0,24650.0,16900.0,24750.0,17200.0,24350.0,16450.0,24500.0,16800.0,228287,2298926
2020-07-07,23166.65625,16300.0,24350.0,16300.0,24900.0,17200.0,24350.0,16150.0,24800.0,16900.0,324098,1817382
2020-07-08,23119.0859375,16650.0,24300.0,16650.0,24500.0,17050.0,24000.0,16200.0,24300.0,16250.0,283339,1807986
2020-07-09,22881.236328125,16300.0,24050.0,16300.0,24500.0,16750.0,24050.0,16300.0,24500.0,16700.0,294485,901421
2020-07-10,22262.82421875,15900.0,23400.0,15900.0,24100.0,16600.0,23350.0,15750.0,24100.0,16500.0,332612,1024735
2020-07-13,22643.384765625,16050.0,23800.0,16050.0,24050.0,16100.0,23500.0,15350.0,23600.0,15900.0,199234,1044223
2020-07-14,22786.09375,15900.0,23950.0,15900.0,23950.0,16100.0,23500.0,15700.0,23600.0,16050.0,174615,588844
2020-07-15,23166.65625,15800.0,24350.0,15800.0,24450.0,16050.0,24000.0,15700.0,24050.0,15900.0,255083,1109139
2020-07-16,22928.806640625,15600.0,24100.0,15600.0,24600.0,15750.0,24000.0,15400.0,24200.0,15700.0,214962,869013
2020-07-17,22690.955078125,15900.0,23850.0,15900.0,24150.0,15950.0,23850.0,15600.0,23850.0,15850.0,183090,969474
2020-07-20,22833.666015625,15600.0,24000.0,15600.0,24250.0,15800.0,23900.0,15400.0,24200.0,15700.0,183075,667291
